total_charge_mC,total_charge_mAh,total_energy_mJ,time
0.6417407098388672,0.00017826130828857423,1.9252221295166017,0.35638427734375
28.87713460693359,0.008021426279703776,86.63140382080078,16.036376953125
54.48964697906494,0.01513601304974026,163.46894093719482,30.260040283203125
81.80032408142091,0.022722312244839137,245.40097224426268,45.42694091796875
111.17424031982424,0.03088173342217339,333.5227209594726,61.739501953125
135.96153436614992,0.03776709287948608,407.8846030984497,75.50509643554688
163.5482303240967,0.04543006397891575,490.64469097229005,90.82537841796875
189.92516288024905,0.05275698968895806,569.7754886407471,105.47381591796875
217.8219474838257,0.06050609652328491,653.4658424514771,120.96603393554688
244.01603213714603,0.06778223114920721,732.048096411438,135.51290893554688
272.92576096160894,0.07581271137822468,818.7772828848267,151.56796264648438
300.5265698580933,0.08347960273835922,901.5797095742798,166.89608764648438
326.2846038839722,0.09063461218999225,978.8538116519165,181.20077514648438
353.9417028390503,0.09831713967751395,1061.825108517151,196.56015014648438
380.65628718475347,0.10573785755132037,1141.9688615542605,211.39608764648438
406.1052614532471,0.11280701707034638,1218.3157843597414,225.52886962890625
433.945292314148,0.12054035897615217,1301.835876942444,240.98983764648438
460.3644666452027,0.12787901851255626,1381.093399935608,255.66171264648438
487.8246335250855,0.13550684264585705,1463.4739005752565,270.9117126464844
515.4675831036377,0.14318543975101045,1546.4027493109134,286.26324462890625
543.3497818869018,0.15093049496858382,1630.0493456607057,301.7476501464844
568.5169091339111,0.1579213636483086,1705.5507274017336,315.72418212890625
597.8479894439697,0.16606888595665822,1793.5439683319094,332.01324462890625
623.0995578399658,0.1730832105111016,1869.2986735198976,346.03668212890625
651.1365234616088,0.18087125651711355,1953.4095703848268,361.6070251464844
677.4431358639525,0.18817864885109792,2032.329407591858,376.2164001464844
705.3252584991454,0.19592368291642928,2115.9757754974366,391.70074462890625
733.0245150616454,0.20361792085045705,2199.073545184937,407.08355712890625
758.346430161743,0.21065178615603972,2275.0392904852297,421.14605712890625
787.0163582647704,0.2186156550735473,2361.0490747943118,437.06793212890625
810.9597454391478,0.2252665959553188,2432.879236317444,450.3648376464844
839.1794686553953,0.23310540795983203,2517.5384059661865,466.03668212890625
864.5999366647337,0.24016664907353713,2593.7998099942015,480.1539001464844
891.5818087619017,0.24766161354497268,2674.7454262857054,495.1382751464844
919.5063792825316,0.2554184386895921,2758.519137847595,510.6461486816406
947.079297000122,0.2630775825000338,2841.2378910003663,525.9585571289062
975.7633652023314,0.2710453792228698,2927.290095606995,541.8882751464844
1000.0443062472533,0.2777900850686814,3000.1329187417605,555.3726501464844
1030.1772057257078,0.2861603349238077,3090.531617177124,572.1069946289062
1057.27156124176,0.2936865447893778,3171.8146837252807,587.1538391113281
