total_charge_mC,total_charge_mAh,total_energy_mJ,time
0.6268477255249024,0.0001741243682013618,1.8805431765747072,0.348114013671875
28.876242543029786,0.008021178484174938,86.62872762908935,16.035919189453125
54.46582401428223,0.015129395559522838,163.3974720428467,30.24688720703125
81.78518620544433,0.022718107279290092,245.35555861633304,45.41864013671875
111.15909452789306,0.030877526257748075,333.47728358367925,61.731231689453125
135.94627191741944,0.037762853310394286,407.83881575225837,75.49679565429688
163.49076005462646,0.045414100015174014,490.4722801638795,90.79367065429688
189.90983520355223,0.052752732000986735,569.7295056106568,105.46554565429688
217.80656298339844,0.06050182305094401,653.4196889501955,120.957763671875
243.9724521923828,0.06777012560899523,731.9173565771486,135.489013671875
272.89613357879637,0.07580448154966567,818.6884007363892,151.55184936523438
300.51094650848387,0.08347526291902331,901.5328395254517,166.88778686523438
326.2689724963379,0.09063027013787164,978.8069174890137,181.1925048828125
353.9260105993652,0.09831278072204591,1061.7780317980958,196.5518798828125
380.6124010266113,0.1057256669518365,1141.8372030798341,211.3721923828125
406.0894475094604,0.11280262430818347,1218.2683425283815,225.52059936523438
433.92941867797845,0.12053594963277182,1301.7882560339356,240.9815673828125
460.34853313354483,0.12787459253709582,1381.0455994006347,255.6534423828125
487.78050517944325,0.1354945847720676,1463.34151553833,270.8878173828125
515.4515278268432,0.1431809799519009,1546.3545834805298,286.2549743652344
543.3195441525268,0.15092209559792413,1629.9586324575805,301.7315368652344
568.4866643991088,0.1579129623330858,1705.4599931973266,315.7080993652344
597.7895499972533,0.16605265277701484,1793.3686499917603,331.9815368652344
623.0691918893431,0.17307477552481756,1869.20757566803,346.0205993652344
651.120108547058,0.18086669681862724,1953.3603256411745,361.5987243652344
677.4266582662963,0.18817407174063788,2032.2799747988893,376.2080993652344
705.3088301940917,0.19591911949835883,2115.9264905822756,391.6925048828125
732.9939057638549,0.20360941826773749,2198.981717291565,407.0674743652344
758.3298854626464,0.21064719040629068,2274.9896563879397,421.1378173828125
786.9997540563965,0.21861104279344346,2360.99926216919,437.0596923828125
810.9430280529784,0.22526195223693846,2432.829084158936,450.3565673828125
839.1626887081908,0.23310074686338633,2517.4880661245734,466.0284118652344
864.5830947668455,0.2401619707685682,2593.7492843005375,480.1456298828125
891.564907293701,0.24765691869269474,2674.6947218811038,495.1300048828125
919.4894195867919,0.25541372766299775,2758.468258760376,510.63787841796875
947.0622870114134,0.2630728575031704,2841.186861034241,525.9502868652344
975.7322285607909,0.27103673015577523,2927.1966856823733,541.8721923828125
1000.0271778503417,0.27778532718065047,3000.0815335510256,555.3643798828125
1030.1600183078,0.28615556064105563,3090.480054923401,572.0987243652344
1056.7901099484252,0.29355280831900704,3170.370329845276,586.8877868652344
1085.6428334640502,0.301567453740014,3256.928500392151,602.9112243652344
1109.375092922058,0.30815974803390506,3328.1252787661742,616.0909118652344
1137.7214211813352,0.31603372810592656,3413.164263544006,631.8330993652344
1162.438374767761,0.3228995485466004,3487.3151243032835,645.5596618652344
1188.9840889376828,0.33027335803824537,3566.952266813049,660.3018493652344
1218.2166297238157,0.33839350825661557,3654.6498891714473,676.5362243652344
1243.6228968429564,0.34545080467859907,3730.868690528869,690.6455993652344
1272.2224044503782,0.35339511234732734,3816.6672133511347,706.5284118652344
1299.4292617941283,0.3609525727205912,3898.2877853823848,721.6377868652344
1327.2698892529295,0.368686080348036,3981.8096677587887,737.09912109375
