time,total_charge_mC,total_charge_mAh,total_energy_mJ
11681,0.6419055606079102,0.00017830710016886393,1.9257166818237303
513802,28.235387244262693,0.007843163123406304,84.70616173278808
466080,25.612454248046877,0.007114570624457465,76.83736274414062
496990,27.31073016052246,0.007586313933478461,81.93219048156737
534529,29.37385817535401,0.008159405048709444,88.12157452606202
451071,24.787289041442875,0.006885358067067465,74.36186712432863
502016,27.586746513671876,0.007662985142686632,82.76023954101564
480000,26.376930541992188,0.0073269251505533855,79.13079162597657
507648,27.89672708984375,0.007749090858289931,83.69018126953127
476672,26.19408288330078,0.007276134134250217,78.58224864990234
526092,28.90972668823242,0.008030479635620117,86.72918006469726
502272,27.600807431640625,0.007666890953233507,82.80242229492187
468737,25.758087145080566,0.007155024206966823,77.27426143524168
503296,27.65709974853516,0.007682527707926433,82.97129924560548
486144,26.714585078125005,0.007420718077256945,80.143755234375
463103,25.448975061950684,0.007069159739430745,76.34692518585206
506625,27.840031105041504,0.0077333419736226395,83.52009331512451
480768,26.41917512451172,0.007338659756808811,79.25752537353516
499712,27.460167612304687,0.007627824336751302,82.38050283691405
503039,27.64295018890381,0.007678597274695503,82.92885056671142
507392,27.882144321289065,0.007745040089246962,83.64643296386718
457984,25.16718036621094,0.006990883435058594,75.50154109863281
533760,29.33107811279297,0.008147521697998046,87.99323433837891
459520,25.25156619873047,0.007014323944091797,75.75469859619142
510208,28.036908413085936,0.007788030114746094,84.11072523925782
478721,26.306665765686038,0.00730740715713501,78.91999729705812
507392,27.882175876464842,0.007745048854573567,83.64652762939453
504063,27.69920216156006,0.007694222822655572,83.09760648468017
460801,25.321970721740723,0.007033880756039091,75.96591216522218
521728,28.66992901855469,0.007963869171820749,86.00978705566406
435712,23.94333326171875,0.006650925906032986,71.82999978515625
513535,28.219721324157717,0.007838811478932698,84.65916397247314
462593,25.420466361389163,0.007061240655941434,76.26139908416748
491008,26.98187044921875,0.007494964013671876,80.94561134765625
508161,27.924513617248536,0.0077568093381245925,83.77354085174561
501758,27.572970714721677,0.007659158531867134,82.71891214416505
521985,28.68406679840088,0.007967796332889134,86.05220039520263
441856,24.28093951904297,0.006744705421956381,72.84281855712892
548351,30.132897769470215,0.008370249380408392,90.39869330841066
485376,26.672353496093752,0.007408987082248264,80.01706048828126
526081,28.909106549377444,0.008030307374827067,86.72731964813234
430080,23.633851403808592,0.006564958723280165,70.90155421142578
516096,28.36045759765625,0.007877904888237846,85.08137279296875
449535,24.702894602966307,0.006861915167490642,74.10868380889893
483073,26.54583088775635,0.007373841913265653,79.63749266326904
531968,29.23260151611328,0.008120167087809245,87.69780454833985
462335,25.40627106781006,0.007057297518836127,76.21881320343017
520960,28.62769981689453,0.007952138838026259,85.8830994506836
456961,25.11095123931885,0.006975264233144125,75.33285371795655
486912,26.75677515625,0.007432437543402777,80.27032546875
512767,28.17751555999756,0.007827087655554878,84.53254667999268
476672,26.19407653564453,0.0072761323710123695,78.58222960693358
505601,27.783771930236817,0.007717714425065783,83.35131579071046
511488,28.107259450683593,0.007807572069634332,84.32177835205079
474623,26.081510315856935,0.007244863976626926,78.24453094757081
481024,26.43321327636719,0.00734255924343533,79.29963982910158
500225,27.488327857971193,0.007635646627214221,82.46498357391357
488960,26.869323779296874,0.007463701049804688,80.60797133789063
475391,26.123711197204592,0.0072565864436679416,78.37113359161378
539392,29.64058542236328,0.008233495950656465,88.92175626708983
446209,24.520143783264164,0.0068111510509067125,73.56043134979248
523776,28.782477092285156,0.007995132525634767,86.34743127685547
454144,24.956183649902343,0.006932273236083986,74.86855094970704
548351,30.132878726501467,0.008370244090694852,90.39863617950441
488707,26.85577481903076,0.007459937449730766,80.56732445709228
485118,26.658323424682617,0.007405089840189616,79.97497027404785
471808,25.92682717529297,0.00720189643758138,77.78048152587891
476671,26.19401322357178,0.0072761147843254945,78.58203967071533
527873,29.007584732971193,0.008057662425825332,87.02275419891357
473600,26.025279846191406,0.0072292444017198355,78.07583953857421
