total_charge_mC,total_charge_mAh,total_energy_mJ,time
1.808110700683594,0.0005022529724121094,5.424332102050782,1.004150390625
27.209204427795413,0.007558112341054281,81.62761328338624,15.110137939453125
54.220313903503424,0.015061198306528727,162.66094171051026,30.110443115234375
81.23081449249268,0.022564115136803523,243.69244347747804,45.110748291015625
108.24027464324952,0.030066742956458198,324.7208239297485,60.110198974609375
135.25121111114504,0.03756978086420695,405.75363333343506,75.11074829101562
162.26117257354738,0.045072547937096495,486.78351772064207,90.11074829101562
189.27149209198,0.05257541446999445,567.8144762759399,105.11068725585938
216.2815473416138,0.06007820759489272,648.8446420248413,120.11074829101562
243.2914943386841,0.06758097064963448,729.8744830160522,135.11074829101562
270.3021158755493,0.07508392107654148,810.9063476266479,150.11111450195312
297.31271733184815,0.08258686592551337,891.9381519955443,165.11148071289062
324.3227813095093,0.09008966147486368,972.9683439285277,180.11154174804688
351.33267964294436,0.09759241101192898,1053.9980389288328,195.11151123046875
378.3418946289063,0.10509497073025173,1135.0256838867185,210.111083984375
405.3529608068848,0.11259804466857909,1216.058882420654,225.1114501953125
432.3630245404053,0.12010084015011256,1297.0890736212157,240.11151123046875
459.3729774578858,0.1276036048494127,1378.1189323736571,255.11151123046875
486.38295033386237,0.1351063750927395,1459.1488510015868,270.11151123046875
513.3927893225099,0.14260910814514158,1540.178367967529,285.1114501953125
540.4028534222414,0.1501119037284003,1621.2085602667235,300.11151123046875
567.4128061566164,0.1576146683768378,1702.2384184698485,315.11151123046875
594.4227757977296,0.1651174377215915,1783.2683273931884,330.11151123046875
621.4326020910646,0.17262016724751786,1864.2978062731934,345.1114501953125
648.4426660687258,0.18012296279686818,1945.3279982061767,360.11151123046875
675.4526185589601,0.18762572737748884,2026.3578556768798,375.11151123046875
702.4624688391115,0.19512846356641977,2107.387406517334,390.1114501953125
729.4724019201661,0.20263122275560164,2188.4172057604983,405.1114501953125
756.4824655926515,0.2101340182201809,2269.4473967779545,420.11151123046875
783.4924182659913,0.21763678285166418,2350.477254797974,435.11151123046875
810.502498479004,0.22513958291083438,2431.507495437012,450.111572265625
837.512329899292,0.2326423138609144,2512.5369896978764,465.11151123046875
864.522396135254,0.2401451100375705,2593.567188405762,480.111572265625
891.5328598559571,0.2476480166266547,2674.598579567871,495.111572265625
918.5428322436524,0.2551507867343478,2755.628496730957,510.111572265625
945.5526774578858,0.26265352151607935,2836.658032373657,525.1115112304688
972.562799376526,0.27015633316014603,2917.6883981295773,540.1116027832031
999.5726994189454,0.2776590831719292,2998.7180982568357,555.111572265625
1026.5825445721437,0.28516181793670653,3079.7476337164303,570.1115112304688
1053.5925352279664,0.2926645931188795,3160.7776056838984,585.1115417480469
1080.602546452637,0.3001673740146213,3241.8076393579095,600.111572265625
1107.6125014453128,0.3076701392903646,3322.837504335937,615.111572265625
1134.6224737719729,0.3151729093811035,3403.8674213159175,630.111572265625
1161.6323050091555,0.32267564028032086,3484.896915027465,645.1115112304688
1188.6423711840823,0.33017843644002276,3565.9271135522454,660.111572265625
1215.6523261767582,0.33768120171576604,3646.956978530273,675.111572265625
1242.6622985034182,0.34518397180650495,3727.9868955102534,690.111572265625
1269.6721367596438,0.3526867046554565,3809.01641027893,705.1115112304688
1296.6822034228517,0.36018950095079205,3890.046610268554,720.111572265625
1323.6921584155275,0.36769226622653534,3971.0764752465816,735.111572265625
1350.7020042401125,0.37519500117780896,4052.1060127203364,750.1115112304688
1377.7119393963626,0.38269776094343394,4133.135818189086,765.1115112304688
1404.722005083008,0.3902005569675021,4214.166015249023,780.111572265625
1431.731960075684,0.3977033222432454,4295.19588022705,795.111572265625
1458.741932402344,0.4052060923339843,4376.22579720703,810.111572265625
1485.7518285385133,0.412708841260698,4457.255485615538,825.1115417480469
1512.761840251465,0.4202116222920735,4538.2855207543935,840.111572265625
1539.7717952441408,0.42771438756781677,4619.3153857324205,855.111572265625
1566.7817675708009,0.4352171576585557,4700.345302712401,870.111572265625
1593.791664378357,0.4427199067717657,4781.374993135069,885.1115417480469
1620.8021816455077,0.45022282823486315,4862.406544936522,900.111572265625
1647.8121366381836,0.45772559351060643,4943.436409914549,915.111572265625
1674.8219969891356,0.46522833249698203,5024.465990967406,930.1115112304688
1701.8319872177124,0.47273110756047554,5105.495961653136,945.1115417480469
1728.841998137207,0.48023388837144626,5186.52599441162,960.111572265625
1755.8519531298828,0.48773665364718954,5267.555859389647,975.111572265625
1782.8616904577636,0.4952393584604898,5348.585071373289,990.1114501953125
1809.8716232336426,0.5027421175649006,5429.614869700926,1005.1114501953125
1836.8816866619873,0.5102449129616631,5510.64505998596,1020.1115112304688
1863.8916389691162,0.5177476774914211,5591.674916907346,1035.1115112304688
1890.90160293396,0.5252504452594333,5672.704808801877,1050.1115112304688
1917.9115375408935,0.5327532048724705,5753.7346126226785,1065.1115112304688
1944.9216031054686,0.5402560008626303,5834.764809316404,1080.111572265625
1971.931555168457,0.5477587653245715,5915.794665505369,1095.111572265625
1998.9414105145263,0.5552615029207019,5996.824231543577,1110.1115112304688
2025.9512391271971,0.5627642330908882,6077.85371738159,1125.1114501953125
2052.9613024334717,0.5702670284537422,6158.883907300414,1140.1115112304688
2079.971245646362,0.5777697904573229,6239.9137369390855,1155.1115112304688
2106.981089884033,0.585272524967787,6320.943269652098,1170.1114501953125
2133.991022354736,0.5927752839874267,6401.9730670642075,1185.1114501953125
2161.0010852947994,0.6002780792485555,6483.003255884398,1200.1115112304688
2188.01102850769,0.6077808412521362,6564.0330855230695,1215.1115112304688
2215.020870120849,0.6152835750335692,6645.062610362547,1230.1114501953125
2242.030802530517,0.6227863340362548,6726.092407591551,1245.1114501953125
2269.0409754321286,0.630289159842258,6807.122926296385,1260.111572265625
2296.050927128906,0.6377919242024739,6888.152781386717,1275.111572265625
2323.0608914599607,0.6452946920722112,6969.182674379881,1290.111572265625
2350.0707324627683,0.6527974256841023,7050.212197388304,1305.1115112304688
2377.0807984545895,0.6603002217929415,7131.242395363768,1320.111572265625
2404.0907532031247,0.6678029870008679,7212.272259609374,1335.111572265625
2431.1006095867915,0.6753057248852199,7293.3018287603745,1350.1115112304688
2458.1105446820065,0.6828084846338907,7374.331634046019,1365.1115112304688
2485.120610307617,0.6903112806410047,7455.36183092285,1380.111572265625
2512.1305651782222,0.6978140458828395,7536.391695534666,1395.111572265625
2539.140411613159,0.7053167810036551,7617.421234839476,1410.1115112304688
2566.150346708374,0.7128195407523259,7698.45104012512,1425.1115112304688
2593.1604123339844,0.7203223367594399,7779.481237001951,1440.111572265625
2620.170367265625,0.7278251020182289,7860.511101796873,1455.111572265625
2647.18033953125,0.7353278720920137,7941.541018593748,1470.111572265625
2674.1901803509522,0.742830605653042,8022.570541052854,1485.1115112304688
2701.200906661377,0.7503335851837156,8103.602719984129,1500.1119384765625
2728.2115294799805,0.757836535966661,8184.63458843994,1515.1123046875
2755.221565057678,0.7653393236271326,8265.664695173033,1530.1123352050781
2782.2313569696043,0.7728420436026677,8346.694070908812,1545.1122436523438
